Block Name,Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,126,0.015519,0,0.198336,9,9.00218,-2.31992e-08,-1.22037e-07,0.369988,0.369988
internalMesh,127,0.015519,0,0.198336,9,9.00218,-2.31992e-08,-1.22037e-07,0.369988,0.369988
internalMesh,128,0.015519,0,0.206409,9,9.00237,-2.41798e-08,-1.18983e-07,0.364368,0.364368
internalMesh,129,0.015519,0,0.218284,9,9.00265,-2.54502e-08,-1.13705e-07,0.355606,0.355606
internalMesh,130,0.015519,0,0.218284,9,9.00265,-2.54502e-08,-1.13705e-07,0.355606,0.355606
internalMesh,131,0.015519,0,0.230114,9,9.00294,-2.6518e-08,-1.07831e-07,0.346381,0.346381
internalMesh,132,0.015519,0,0.230114,9,9.00294,-2.6518e-08,-1.07831e-07,0.346381,0.346381
internalMesh,133,0.015519,0,0.241895,9,9.00325,-2.73624e-08,-1.01523e-07,0.336702,0.336702
internalMesh,134,0.015519,0,0.241895,9,9.00325,-2.73624e-08,-1.01523e-07,0.336702,0.336702
internalMesh,135,0.015519,0,0.253627,9,9.00357,-2.79674e-08,-9.49387e-08,0.326577,0.326577
internalMesh,136,0.015519,0,0.253627,9,9.00357,-2.79674e-08,-9.49387e-08,0.326577,0.326577
internalMesh,137,0.015519,0,0.265305,9,9.00391,-2.83223e-08,-8.82268e-08,0.316011,0.316011
internalMesh,138,0.015519,0,0.265305,9,9.00391,-2.83223e-08,-8.82268e-08,0.316011,0.316011
internalMesh,139,0.015519,0,0.276928,9,9.00426,-2.84219e-08,-8.15417e-08,0.305014,0.305014
internalMesh,140,0.015519,0,0.276928,9,9.00426,-2.84219e-08,-8.15417e-08,0.305014,0.305014
internalMesh,141,0.015519,0,0.288494,9,9.00462,-2.82666e-08,-7.50609e-08,0.293594,0.293594
internalMesh,142,0.015519,0,0.288494,9,9.00462,-2.82666e-08,-7.50609e-08,0.293594,0.293594
internalMesh,143,0.015519,0,0.288494,9,9.00462,-2.82666e-08,-7.50609e-08,0.293594,0.293594
internalMesh,144,0.015519,0,0.294357,9,9.00481,-2.80808e-08,-7.20502e-08,0.288016,0.288016
internalMesh,145,0.015519,0,0.3,9,9.005,-2.7902e-08,-6.91528e-08,0.282648,0.282648
internalMesh,146,0.015519,0,0.3,9,9.005,-2.7902e-08,-6.91528e-08,0.282648,0.282648
internalMesh,147,0.015519,0,0.3,9,9.005,-2.7902e-08,-6.91528e-08,0.282648,0.282648
internalMesh,148,0.015519,0,-0.308,9,9.00527,-2.45937e-08,6.09836e-08,0.273098,0.273098
internalMesh,149,0.015519,0,0.308,9,9.00527,-2.74302e-08,-6.43556e-08,0.273205,0.273205
internalMesh,150,0.015519,0,0.308,9,9.00527,-2.74302e-08,-6.43556e-08,0.273205,0.273205
internalMesh,151,0.015519,0,0.316,9,9.00555,-2.68726e-08,-6.03077e-08,0.264466,0.264466
internalMesh,152,0.015519,0,0.316,9,9.00555,-2.68726e-08,-6.03077e-08,0.264466,0.264466
internalMesh,153,0.015519,0,0.324,9,9.00583,-2.61976e-08,-5.63667e-08,0.255497,0.255497
internalMesh,154,0.015519,0,0.324,9,9.00583,-2.61976e-08,-5.63667e-08,0.255497,0.255497
internalMesh,155,0.015519,0,0.332,9,9.00612,-2.54161e-08,-5.25265e-08,0.246297,0.246297
internalMesh,156,0.015519,0,0.332,9,9.00612,-2.54161e-08,-5.25265e-08,0.246297,0.246297
internalMesh,157,0.015519,0,0.34,9,9.00642,-2.45397e-08,-4.87948e-08,0.236867,0.236867
internalMesh,158,0.015519,0,0.34,9,9.00642,-2.45397e-08,-4.87948e-08,0.236867,0.236867
internalMesh,159,0.015519,0,0.348,9,9.00673,-2.35793e-08,-4.51702e-08,0.227206,0.227206
internalMesh,160,0.015519,0,0.348,9,9.00673,-2.35793e-08,-4.51702e-08,0.227206,0.227206
internalMesh,161,0.015519,0,0.356,9,9.00704,-2.25459e-08,-4.16497e-08,0.217314,0.217314
internalMesh,162,0.015519,0,0.356,9,9.00704,-2.25459e-08,-4.16497e-08,0.217314,0.217314
internalMesh,163,0.015519,0,0.364,9,9.00736,-2.14501e-08,-3.82315e-08,0.207191,0.207191
internalMesh,164,0.015519,0,0.364,9,9.00736,-2.14501e-08,-3.82315e-08,0.207191,0.207191
internalMesh,165,0.015519,0,0.372,9,9.00768,-2.03017e-08,-3.49141e-08,0.196837,0.196837
internalMesh,166,0.015519,0,0.372,9,9.00768,-2.03017e-08,-3.49141e-08,0.196837,0.196837
internalMesh,167,0.015519,0,0.38,9,9.00802,-1.91102e-08,-3.16975e-08,0.186253,0.186253
internalMesh,168,0.015519,0,0.38,9,9.00802,-1.91102e-08,-3.16975e-08,0.186253,0.186253
internalMesh,169,0.015519,0,0.388,9,9.00836,-1.78842e-08,-2.85819e-08,0.175438,0.175438
internalMesh,170,0.015519,0,0.388,9,9.00836,-1.78842e-08,-2.85819e-08,0.175438,0.175438
internalMesh,171,0.015519,0,0.396,9,9.00871,-1.66317e-08,-2.55683e-08,0.164392,0.164392
internalMesh,172,0.015519,0,0.396,9,9.00871,-1.66317e-08,-2.55683e-08,0.164392,0.164392
internalMesh,173,0.015519,0,0.404,9,9.00906,-1.53599e-08,-2.26586e-08,0.153116,0.153116
internalMesh,174,0.015519,0,0.404,9,9.00906,-1.53599e-08,-2.26586e-08,0.153116,0.153116
internalMesh,175,0.015519,0,0.412,9,9.00943,-1.40755e-08,-1.98559e-08,0.141611,0.141611
internalMesh,176,0.015519,0,0.412,9,9.00943,-1.40755e-08,-1.98559e-08,0.141611,0.141611
internalMesh,177,0.015519,0,0.42,9,9.00979,-1.27838e-08,-1.71647e-08,0.129876,0.129876
internalMesh,178,0.015519,0,0.42,9,9.00979,-1.27838e-08,-1.71647e-08,0.129876,0.129876
internalMesh,179,0.015519,0,0.428,9,9.01017,-1.14895e-08,-1.45914e-08,0.117912,0.117912
internalMesh,180,0.015519,0,0.428,9,9.01017,-1.14895e-08,-1.45914e-08,0.117912,0.117912
internalMesh,181,0.015519,0,0.436,9,9.01055,-1.01963e-08,-1.21444e-08,0.105719,0.105719
internalMesh,182,0.015519,0,0.436,9,9.01055,-1.01963e-08,-1.21444e-08,0.105719,0.105719
internalMesh,183,0.015519,0,0.444,9,9.01095,-8.907e-09,-9.8348e-09,0.0932975,0.0932975
internalMesh,184,0.015519,0,0.444,9,9.01095,-8.907e-09,-9.8348e-09,0.0932975,0.0932975
internalMesh,185,0.015519,0,0.452,9,9.01134,-7.6232e-09,-7.67816e-09,0.080648,0.080648
internalMesh,186,0.015519,0,0.452,9,9.01134,-7.6232e-09,-7.67816e-09,0.080648,0.080648
internalMesh,187,0.015519,0,0.46,9,9.01175,-6.34559e-09,-5.69961e-09,0.0677708,0.0677708
internalMesh,188,0.015519,0,0.46,9,9.01175,-6.34559e-09,-5.69961e-09,0.0677708,0.0677708
internalMesh,189,0.015519,0,0.468,9,9.01216,-5.07376e-09,-3.92585e-09,0.0546663,0.0546663
internalMesh,190,0.015519,0,0.468,9,9.01216,-5.07376e-09,-3.92585e-09,0.0546663,0.0546663
internalMesh,191,0.015519,0,0.476,9,9.01258,-3.80615e-09,-2.37639e-09,0.0413349,0.0413349
internalMesh,192,0.015519,0,0.476,9,9.01258,-3.80615e-09,-2.37639e-09,0.0413349,0.0413349
internalMesh,193,0.015519,0,0.484,9,9.01301,-2.54013e-09,-1.09187e-09,0.027777,0.027777
internalMesh,194,0.015519,0,0.484,9,9.01301,-2.54013e-09,-1.09187e-09,0.027777,0.027777
internalMesh,195,0.015519,0,0.492,9,9.01344,-1.27e-09,-3.03819e-10,0.0139932,0.0139932
internalMesh,196,0.015519,0,0.492,9,9.01344,-1.27e-09,-3.03819e-10,0.0139932,0.0139932
internalMesh,197,0.015519,0,0.5,9,9.01388,0,0,0,0
internalMesh,198,0.015519,0,-0.308,9,9.00527,-2.45937e-08,6.09836e-08,0.273098,0.273098
internalMesh,199,0.015519,0,-0.308,9,9.00527,-2.45937e-08,6.09836e-08,0.273098,0.273098
internalMesh,200,0.015519,0,-0.316,9,9.00555,-2.41706e-08,5.72009e-08,0.26436,0.26436
internalMesh,201,0.015519,0,-0.316,9,9.00555,-2.41706e-08,5.72009e-08,0.26436,0.26436
internalMesh,202,0.015519,0,-0.324,9,9.00583,-2.36333e-08,5.35209e-08,0.255394,0.255394
internalMesh,203,0.015519,0,-0.324,9,9.00583,-2.36333e-08,5.35209e-08,0.255394,0.255394
internalMesh,204,0.015519,0,-0.332,9,9.00612,-2.29915e-08,4.99268e-08,0.246196,0.246196
internalMesh,205,0.015519,0,-0.332,9,9.00612,-2.29915e-08,4.99268e-08,0.246196,0.246196
internalMesh,206,0.015519,0,-0.34,9,9.00642,-2.22542e-08,4.64301e-08,0.236769,0.236769
internalMesh,207,0.015519,0,-0.34,9,9.00642,-2.22542e-08,4.64301e-08,0.236769,0.236769
internalMesh,208,0.015519,0,-0.348,9,9.00673,-2.14311e-08,4.30292e-08,0.227111,0.227111
internalMesh,209,0.015519,0,-0.348,9,9.00673,-2.14311e-08,4.30292e-08,0.227111,0.227111
internalMesh,210,0.015519,0,-0.356,9,9.00704,-2.05317e-08,3.97208e-08,0.217223,0.217223
internalMesh,211,0.015519,0,-0.356,9,9.00704,-2.05317e-08,3.97208e-08,0.217223,0.217223
internalMesh,212,0.015519,0,-0.364,9,9.00736,-1.95655e-08,3.65028e-08,0.207104,0.207104
internalMesh,213,0.015519,0,-0.364,9,9.00736,-1.95655e-08,3.65028e-08,0.207104,0.207104
internalMesh,214,0.015519,0,-0.372,9,9.00768,-1.85418e-08,3.33741e-08,0.196754,0.196754
internalMesh,215,0.015519,0,-0.372,9,9.00768,-1.85418e-08,3.33741e-08,0.196754,0.196754
internalMesh,216,0.015519,0,-0.38,9,9.00802,-1.747e-08,3.03349e-08,0.186174,0.186174
internalMesh,217,0.015519,0,-0.38,9,9.00802,-1.747e-08,3.03349e-08,0.186174,0.186174
internalMesh,218,0.015519,0,-0.388,9,9.00836,-1.63588e-08,2.73859e-08,0.175363,0.175363
internalMesh,219,0.015519,0,-0.388,9,9.00836,-1.63588e-08,2.73859e-08,0.175363,0.175363
internalMesh,220,0.015519,0,-0.396,9,9.00871,-1.52168e-08,2.45284e-08,0.164322,0.164322
internalMesh,221,0.015519,0,-0.4,9,9.00888,-1.46343e-08,2.31465e-08,0.158687,0.158687
internalMesh,222,0.015519,0,-0.4,9,9.00888,-1.46343e-08,2.31465e-08,0.158687,0.158687
